"file, window, xx, program, output, entry, use, set, problem, line"
"edu, subject, writes, university, re, article, cs, cc, host, posting"
"israel, israeli, writes, jews, edu, caltech, subject, article, com, keith"
"subject, edu, university, mail, please, ac, thanks, posting, host, anyone"
"gun, people, said, turkish, armenian, government, armenians, guns, children, one"
"key, chip, encryption, clipper, government, public, keys, use, security, law"
"edu, writes, article, re, com, subject, posting, host, apr, university"
"ca, subject, posting, andrew, host, cmu, re, access, nntp, edu"
"com, subject, re, posting, hp, host, lines, sun, newsreader, writes"
"pitt, hz, ah, gordon, um, pl, ww, banks, magnus, ma"
"one, use, used, time, two, power, may, also, ground, water"
"com, writes, re, article, subject, edu, apr, netcom, organization, ibm"
"team, game, year, games, hockey, season, play, players, last, win"
"edu, available, ftp, files, server, image, graphics, db, version, mit"
"ax, max, pl, tm, wm, um, sl, bj, ql, mb"
"god, jesus, one, christian, bible, believe, people, christians, church, would"
"would, people, think, one, like, know, re, well, get, say"
"car, com, re, edu, would, get, writes, like, one, article"
"space, nasa, gov, new, president, research, center, national, april, program"
"drive, windows, card, scsi, mb, dos, system, disk, mac, use"
